function,window,status,sync_laps,coup_per,distance
entropy,12,noise,0,False,0.9469249806548998
entropy,12,noise,0,False,0.9487031584624341
entropy,12,noise,0,False,0.8837131813431187
entropy,12,noise,0,False,0.9385252567114868
entropy,12,noise,0,False,0.9194473112041925
entropy,12,noise,0,False,0.9513305519641994
entropy,12,noise,0,False,0.9910749908322776
entropy,12,noise,0,False,0.9343920423797423
entropy,12,noise,0,False,0.9356911351280064
entropy,12,noise,0,False,0.9439864520323527
entropy,12,noise,0,False,0.9220780653628642
entropy,12,noise,0,False,0.905160906448184
entropy,12,noise,0,False,0.9414157628386701
entropy,12,noise,0,False,0.9132685656773063
entropy,12,noise,0,False,0.9340864829697253
entropy,12,noise,0,False,0.9231058719457959
entropy,12,noise,0,False,0.9179542340220974
entropy,12,noise,0,False,0.9217403222645091
entropy,12,noise,0,False,1.003165268498694
entropy,12,noise,0,False,0.965945393816928
entropy,12,noise,0,False,0.9465297052112783
entropy,12,noise,0,False,0.9514190585467417
entropy,12,noise,0,False,0.9582942074581378
entropy,12,noise,0,False,0.9294293200905026
entropy,12,noise,0,False,0.9440067839580057
entropy,12,noise,0,False,0.9496204088133029
entropy,12,noise,0,False,0.9180664331871995
entropy,12,noise,0,False,0.9436993909080096
entropy,12,noise,0,False,0.8757234238487888
entropy,12,noise,0,False,0.8630534613642469
entropy,12,noise,0,False,0.9300215071428852
entropy,12,noise,0,False,0.9363516127533914
entropy,12,noise,0,False,0.9077458531653506
entropy,12,noise,0,False,0.8907671770595793
entropy,12,noise,0,False,0.8363543619806575
entropy,12,noise,0,False,0.864014863082254
entropy,12,noise,0,False,0.9570978788159006
entropy,12,noise,0,False,0.9635255590213269
entropy,12,noise,0,False,0.9105581158062506
entropy,12,noise,0,False,0.9335686836152421
entropy,12,noise,0,False,0.9356106113784388
entropy,12,noise,0,False,0.9379580985516514
entropy,12,noise,0,False,0.9305466520000991
entropy,12,noise,0,False,0.9614551100639712
entropy,12,noise,0,False,0.9763725320836891
entropy,12,noise,0,False,0.9578295610478906
entropy,12,noise,0,False,0.9069788172950539
entropy,12,noise,0,False,0.9236595354099044
entropy,12,noise,0,False,0.9138522484825831
entropy,12,noise,0,False,0.9294470034803191
entropy,12,noise,0,False,0.8953616771446637
entropy,12,noise,0,False,0.8984418652939901
entropy,12,noise,0,False,0.9409864700667294
entropy,12,noise,0,False,0.9208625394552108
entropy,12,noise,0,False,0.9216054361196424
entropy,12,noise,0,False,0.9760072891225618
entropy,12,noise,0,False,0.9804083034652181
entropy,12,noise,0,False,0.9408809174246142
entropy,12,noise,0,False,0.9773757563973771
entropy,12,noise,0,False,0.9630335370199685
entropy,12,noise,0,False,0.869280737659301
entropy,12,noise,0,False,0.8775382299551173
entropy,12,noise,0,False,0.8435174664888596
entropy,12,noise,0,False,0.8930243240102701
entropy,12,noise,0,False,0.6865542536072311
entropy,12,noise,0,False,0.8448599451892385
entropy,12,noise,0,False,0.7449045170121857
entropy,12,noise,0,False,0.3926459704113858
entropy,12,sync20,20,True,0.001285025931718975
entropy,12,sync20,20,True,0.011512286488018386
entropy,12,sync20,20,True,0.0006041547311812501
entropy,12,sync20,20,True,0.0018508477815665225
entropy,12,sync20,20,True,0.023271594437991094
entropy,12,sync20,20,True,0.01628944065837934
entropy,12,sync20,20,True,0.013371816082303534
entropy,12,sync20,20,True,0.008250896479516268
entropy,12,sync20,20,True,0.0025937444459984693
entropy,12,sync20,20,False,0.3893755919671127
entropy,12,sync20,20,False,0.6443236993502879
entropy,12,sync20,20,False,0.859173034912162
entropy,12,sync20,20,False,0.7092040230655512
entropy,12,sync20,20,False,0.8041272289292993
entropy,12,sync20,20,False,0.9287121512983619
entropy,12,sync20,20,False,0.9210399340341748
entropy,12,sync20,20,False,0.8660156187213404
entropy,12,sync20,20,False,0.8749591765145805
entropy,12,sync20,20,False,0.9116461806483757
entropy,12,sync20,20,False,0.9493579951676281
entropy,12,noise,0,False,0.9427573023715321
entropy,12,noise,0,False,0.9600061842490142
entropy,12,noise,0,False,0.900956231593469
entropy,12,noise,0,False,0.9173628750068984
entropy,12,noise,0,False,0.9755010891743254
entropy,12,noise,0,False,0.9267444073847979
entropy,12,noise,0,False,0.9610216417392672
entropy,12,noise,0,False,0.9863586658160749
entropy,12,noise,0,False,0.9198992909558967
entropy,12,noise,0,False,0.9104120768784421
entropy,12,noise,0,False,0.9264523426705074
entropy,12,noise,0,False,0.956654709934355
entropy,12,noise,0,False,0.9031368527817434
entropy,12,noise,0,False,0.9634146804376205
entropy,12,noise,0,False,0.9622849994353457
entropy,12,noise,0,False,0.9504164715632981
entropy,12,noise,0,False,0.8906118321301348
entropy,12,noise,0,False,0.9206303489989702
entropy,12,noise,0,False,0.9068712403060197
entropy,12,noise,0,False,0.9319068805255744
entropy,12,noise,0,False,0.930386112773768
entropy,12,noise,0,False,0.8702463280713981
entropy,12,noise,0,False,0.9313518938928051
entropy,12,noise,0,False,0.9493168099021909
entropy,12,noise,0,False,0.9120171756600272
entropy,12,noise,0,False,0.9125423336585683
entropy,12,noise,0,False,0.9641043625083169
entropy,12,noise,0,False,0.9563670114797667
entropy,12,noise,0,False,0.9385874728823203
entropy,12,noise,0,False,0.9575486491165427
entropy,12,noise,0,False,0.9358606759314356
entropy,12,noise,0,False,0.9363507847162078
